Query,Rank,SimilarityScore,SourceFile,Excerpt,Alignment
how to find roots of a polynomial in scipy,1,0.9239416122,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/release/1.2.3-notes.rst,"""========================== SciPy 1.2.3 Release Notes ========================== .. contents:: SciPy 1.2.3 is a bug-fix release with no new features compared to 1.2.2. It is part of the long-term support (LTS) release series for Python 2.7. Authors ==...""",Partially Irrelevent
how to find roots of a polynomial in scipy,2,0.9391608238,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/reference/optimize.root_scalar-newton.rst,.. _optimize.root_scalar-newton: root_scalar(method='newton') ---------------------------- .. scipy-optimize:function:: scipy.optimize.root_scalar :impl: scipy.optimize._root_scalar._root_scalar_newton_doc :method: newton...,Yes
how to find roots of a polynomial in scipy,3,0.9721172452,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/reference/optimize.root_scalar-secant.rst,.. _optimize.root_scalar-secant: root_scalar(method='secant') ---------------------------- .. scipy-optimize:function:: scipy.optimize.root_scalar :impl: scipy.optimize._root_scalar._root_scalar_secant_doc :method: secant...,relevent
sparse matrix multiplication efficiency,1,0.788279891,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/reference/sparse.migration_to_sparray.rst,.. _migration_to_sparray: Migration from spmatrix to sparray ================================== This document provides guidance for converting code from sparse *matrices* to sparse *arrays* in ``scipy.sparse``. The change from sparse matrices to spar...,relevent
sparse matrix multiplication efficiency,2,0.8700016737,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/release/0.7.0-notes.rst,"Conversions among all sparse formats are now possible: * using member functions such as ``.tocsr()`` and ``.tolil()`` * using the ``.asformat()`` member function, e.g. ``A.asformat('csr')`` * using constructors ``A = lil_matrix([[1,2]]); B = csr_matr...",relevent
sparse matrix multiplication efficiency,3,0.8917437792,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/release/1.12.0-notes.rst,"``.T`` method. - ``LaplacianNd`` now allows selection of the largest subset of eigenvalues, and additionally now supports retrieval of the corresponding eigenvectors. The performance of ``LaplacianNd`` has also been improved. - The performance of ``d...",relevent
using curve_fit for non-linear regression,1,1.062904358,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/tutorial/interpolate/smoothing_splines.rst,".. _tutorial-interpolate_fitpack: .. currentmodule:: scipy.interpolate ================= Smoothing splines ================= Spline smoothing in 1D ====================== For the interpolation problem, the task is to construct a curve which passes th...",relevent
using curve_fit for non-linear regression,2,1.218638659,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/tutorial/interpolate/smoothing_splines.rst,"the spline fit. The default value of :math:`s` is :math:`s=m-\sqrt{2m}` where :math:`m` is the number of data points being fit. Therefore, **if no smoothing is desired a value of** :math:`\mathbf{s}=0` **should be passed to the routines.** Once the s...",relevent
using curve_fit for non-linear regression,3,1.264501095,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/tutorial/interpolate/1D.rst,.. _tutorial-interpolate_1Dsection: .. currentmodule:: scipy.interpolate ================= 1-D interpolation ================= Piecewise linear interpolation ============================== If all you need is a linear (a.k.a. broken line) interpolatio...,Partially Irrelevent
scipy stats distributions,1,0.5676037669,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/release/1.9.0-notes.rst,"of pdf and cdf calculation. More information can be found in the documentation here (to be linked). - Added `scipy.stats.fit` for fitting discrete and continuous distributions to data. - The methods ``""pearson""`` and ``""tippet""`` from `scipy.stats.co...",relevent
scipy stats distributions,2,0.6738914251,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/tutorial/stats.rst,Statistics (`scipy.stats`) ========================== .. sectionauthor:: Travis E. Oliphant .. sectionauthor:: Josef Perktold .. sectionauthor:: Nicky van Foreest .. sectionauthor:: Sambit Panda .. sectionauthor:: Pamphile T. Roy (@tupui) .. currentm...,relevent
scipy stats distributions,3,0.7206952572,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/tutorial/stats/probability_distributions.rst,"Probability distributions ------------------------- *SciPy has two infrastructures for working with probability distributions. This tutorial is for the older one, which has many pre-defined distributions; however, the new infrastructure can be used w...",relevent
scipy.spatial?,1,0.982618928,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/reference/spatial.distance.rst,.. automodule:: scipy.spatial.distance :no-members: :no-inherited-members: :no-special-members:...,relevent
scipy.spatial?,2,0.9871327877,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/reference/spatial.rst,.. automodule:: scipy.spatial :no-members: :no-inherited-members: :no-special-members:...,relevent
scipy.spatial?,3,0.9944323897,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/release/1.15.0-notes.rst,1.11.4 version has better performance... * `#20991 <https://github.com/scipy/scipy/issues/20991>`__: BUG: ``special.pro_rad1`` returns 'nan' for any combination of... * `#20994 <https://github.com/scipy/scipy/issues/20994>`__: BUG: ``spatial.distance...,relevent
understanding scipy optimizashun methods,1,0.6421540976,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/tutorial/optimize.rst,Optimization (:mod:`scipy.optimize`) ==================================== .. sectionauthor:: Travis E. Oliphant .. sectionauthor:: Pauli Virtanen .. sectionauthor:: Denis Laxalde .. currentmodule:: scipy.optimize .. contents:: The :mod:`scipy.optimiz...,relevent
understanding scipy optimizashun methods,2,0.6786671281,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/release/1.10.0-notes.rst,MAINT/TST: improved test coverage for DIRECT optimizer * `#17439 <https://github.com/scipy/scipy/pull/17439>`__: DOC: Improve example for uniform_direction distribution * `#17446 <https://github.com/scipy/scipy/pull/17446>`__: MAINT: stats.gaussian_k...,relevent
understanding scipy optimizashun methods,3,0.7131128311,/content/drive/MyDrive/DSF/Lab 2/scipy-main/doc/source/tutorial/optimize.rst,a `__call__` method) as the `method` parameter. Let us consider an (admittedly rather virtual) need to use a trivial custom multivariate minimization method that will just search the neighborhood in each dimension independently with a fixed step size...,relevent